Order_ID,Order_Date,Order_Priority,Customer_ID,Customer_Name,Industry_name,Customer_Segment,Province,Region,Channel,Product_ID,Product_Category,Product_Sub-Category,Product_Name,Sales,Quantity,Unit_Price,Discount,Profit,Returned_Reason,Age_Group
HC-2011-103800,1/4/24,Medium,DP-13000,Darren Tran,Thiết bị gia dụng,Consumer,Hồ Chí Minh,Miền Đông Nam Bộ,Store,OFF-PA-10000174,Hàng điện lạnh,Tủ lạnh,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",16.448,2,8.224,0.2,5.5512,No reason,>=55
NA-2011-112326,2024.01.05,Medium,PO-19195,Phillina Ober,Thiết bị gia dụng,Home Office,Nghệ An,Miền Trung,Online,OFF-LA-10003223,Hàng điện lạnh,Máy điều hòa,MÁY LẠNH DAIKIN FTKC60NVMV-BBB,11.784,3,3.928,0.2,4.2717,"""""",35-44
NA-2011-112326,1/5/24,Low,PO-19195,Phillina Ober,Thiết bị gia dụng,Home Office,Nghệ An,Miền Trung,Online,OFF-ST-10002743,Hàng điện lạnh,Máy điều hòa,MÁY LẠNH LG V13BPB,272.736,3,90.912,0.2,-64.7748,"""""",>=55
NA-2011-112326,1/5/24,Low,PO-19195,Phillina Ober,Thiết bị gia dụng,Home Office,Nghệ An,Miền Đông Nam Bộ,Online,OFF-BI-10004094,Hàng điện lạnh,Máy giặt,GBC Standard Plastic Binding Systems Combs,3.54,2,,0.8,-5.487,,45
TN-2011-141817,1/6/24,Medium,MB-18085,Trần Nhiễm,Thiết bị gia dụng,Consumer,Tây Ninh ,Miền Đông Nam Bộ,Store,OFF-AR-10003478,Hàng điện lạnh,Máy giặt,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",19.536,3,6.512,0.2,4.884,,25-34
ĐN-2011-130813,1/7/24,Medium,LS-17230,Lycoris Saunders,Thiết bị gia dụng,Consumer,Đồng Nai,Miền Đông Nam Bộ,Store,OFF-PA-10002005,Hàng điện lạnh,Tủ lạnh,Xerox 225,19.44,3,6.48,0,9.3312,,35-44
HC-2011-106054,1/7/24,Medium,JO-15145,Jack O'Briant,Thiết bị gia dụng,Corporate,Hồ Chí Minh,Miền Đông Nam Bộ,Online,OFF-AR-10002399,Hàng điện lạnh,Máy giặt,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",12.78,3,4.26,,5.2398,,>=55
HN-2011-167199,1/7/24,High,ME-17320,Nguyễn Ca Hùng,Thiết bị gia dụng,Home Office,Hà Nội,Miền Bắc,Online,FUR-CH-10004063,Nội thất,Ghế,Ghế làm việc 2MV2506-M1,2573.82,9,285.98,,746.4078,,35-44
HN-2011-167199,1/7/24,High,ME-17320,Nguyễn Ca Hùng,Thiết bị gia dụng,Home Office,Hà Nội,Miền Bắc,Online,OFF-BI-10004632,Hàng điện lạnh,Máy giặt,Ibico Hi-Tech Manual Binding System,609.98,2,304.99,,274.491,,18-24
HN-2011-167199,1/7/24,Medium,ME-17320,Nguyễn Ca Hùng,Thiết bị gia dụng,Home Office,Hà Nội,Miền Bắc,Online,OFF-AR-10001662,Hàng điện lạnh,Máy giặt,Rogers Handheld Barrel Pencil Sharpener,5.48,2,2.74,,1.4796,,45-54
HN-2011-167199,1/7/24,High,ME-17320,Nguyễn Ca Hùng,Thiết bị điện tử,Home Office,Hà Nội,Miền Bắc,Online,TEC-PH-10004977,Hàng điện tử,Phones,GE 30524EE4,-391.98,2,195.99,,113.6742,,35-44
HN-2011-167199,1/7/24,High,ME-17320,Nguyễn Ca Hùng,Thiết bị điện tử,Home Office,Hà Nội,Miền Bắc,Online,TEC-PH-10004539,Hàng điện tử,Phones,Wireless Extenders zBoost YX545 SOHO Signal Booster,755.96,4,188.99,,204.1092,,>=55
HN-2011-167199,1/7/24,High,ME-17320,Nguyễn Ca Hùng,Thiết bị gia dụng,Home Office,Hà Nội,Miền Bắc,Online,OFF-FA-10001883,Hàng điện lạnh,Máy điều hòa,MÁY LẠNH CHA 51NVMV,31.12,4,7.78,,0.3112,,18-24
HN-2011-167199,1/7/24,Medium,ME-17320,Nguyễn Ca Hùng,Thiết bị gia dụng,Home Office,Hà Nội,Miền Bắc,Online,OFF-PA-10000955,Hàng điện lạnh,Tủ lạnh,Miền Đông Nam Bộworth 25% Cotton Granite Tủ lạnh & Tủ lạnh,6.54,1,6.54,,3.0084,Damaged,45-54
HT-2011-105417,1/8/24,Low,VS-21820,Vivek Sundaresam,Thiết bị gia dụng,Consumer,Hà Tỉnh,Miền Trung,Agent,FUR-FU-10004864,Nội thất,Giường,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",76.728,3,25.576,0.6,-53.7096,,45-54
HT-2011-105417,1/8/24,Low,VS-21820,Vivek Sundaresam,Thiết bị gia dụng,Consumer,Hà Tỉnh,Miền Trung,Agent,OFF-BI-10003708,Hàng điện lạnh,Máy giặt,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",10.43,7,1.49,0.8,-18.2525,,>=55
CT-2011-135405,1/10/24,Medium,MS-17830,Trần Văn Ngư,Thiết bị gia dụng,Consumer,Cần Thơ,Miền Tây Nam Bộ,Agent,OFF-AR-10004078,Điện lạnh,Máy giặt,Newell 312,9.344,2,4.672,0.2,1.168,,>=55
CT-2011-135405,1/10/24,Medium,MS-17830,Trần Văn Ngư,Thiết bị điện tử,Consumer,Cần Thơ,Miền Tây Nam Bộ,Agent,TEC-AC-10001266,Hàng điện tử,Accessories,Memorex Micro Travel Drive 8 GB,31.2,3,10.4,0.2,9.75,,35-44
HG-2011-149020,1/11/24,Medium,AJ-10780,Phạm Khanh,Thiết bị gia dụng,Corporate,Hà Giang,Miền Bắc,Store,OFF-LA-10004272,Hàng điện lạnh,Máy điều hòa,MÁY LẠNH DAIKIN FTKC60NVMV-YTG,2.89,1,2.89,,1.3583,,>=55
HG-2011-149020,1/11/24,Medium,AJ-10780,Phạm Khanh,Thiết bị gia dụng,Corporate,Hà Giang,Miền Bắc,Store,FUR-FU-10000965,Nội thất,Giường,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",51.94,1,51.94,,21.2954,None,25-34
VL-2011-130092,1/12/24,Medium,SV-20365,Seth Vernon,Thiết bị gia dụng,Consumer,Vĩnh Long,Miền Tây Nam Bộ,Store,FUR-FU-10000010,Nội thất,Giường,"DAX Value U-Channel Document Frames, Easel Back",9.94,2,4.97,,3.0814,,18-24
HC-2011-162775,1/14/24,Medium,CS-12250,Trương Hồng Tâm,Thiết bị gia dụng,Corporate,Hồ Chí Minh,Miền Đông Nam Bộ,Online,OFF-EN-10001990,Hàng điện lạnh,Tủ lạnh,MÁY LẠNH SHARP AH-AP12PMW,11.36,2,5.68,,5.3392,,>=55
HC-2011-162775,1/14/24,Medium,CS-12250,Trương Hồng Tâm,Thiết bị gia dụng,Corporate,Hồ Chí Minh,Miền Đông Nam Bộ,Online,OFF-EN-10001532,Hàng điện lạnh,Tủ lạnh,Brown Kraft Recycled Tủ lạnh,50.94,3,16.98,,25.47,,35-44
HC-2011-162775,1/14/24,High,CS-12250,Trương Hồng Tâm,Thiết bị điện tử,Corporate,Hồ Chí Minh,Miền Đông Nam Bộ,Online,TEC-AC-10003174,Hàng điện tử,Accessories,Plantronics S12 Corded Telephone Headset System,646.74,6,107.79,,258.696,,18-24
HC-2011-162775,1/14/24,Medium,CS-12250,Trương Hồng Tâm,Thiết bị gia dụng,Corporate,Hồ Chí Minh,Miền Đông Nam Bộ,Online,OFF-BI-10004187,Hàng điện lạnh,Máy giặt,MÁY LẠNH SHARP AH-AP12PMW,5.64,3,1.88,,2.7072,,56
HC-2011-162775,1/14/24,Medium,CS-12250,Trương Hồng Tâm,Thiết bị gia dụng,Corporate,Hồ Chí Minh,Miền Đông Nam Bộ,Online,OFF-ST-10000025,Hàng điện lạnh,Máy điều hòa,MÁY LẠNH LG G27PC,572.58,6,95.43,,34.3548,,45-54
ĐT-2011-109232,1/14/24,High,ND-18370,Lê Nguyễn Thanh Giang,Thiết bị gia dụng,Consumer,Đồng Tháp,Miền Tây Nam Bộ,Agent,FUR-CH-10000422,Nội thất,Ghế,Global Highback Leather Tilter in Burgundy,545.94,6,,,87.3504,,45-54
ĐN-2011-157147,1/14/24,High,BD-11605,Nguyễn Văn Tài Em,Thiết bị gia dụng,Consumer,Đà Nẵng,Miền Trung,Agent,OFF-ST-10000078,Hàng điện lạnh,Máy điều hòa,MÁY LẠNH GENERAL ASHG 015LHJI,1325.85,5,265.17,,238.653,,18-24
ĐN-2011-157147,1/14/24,Medium,BD-11605,Nguyễn Văn Tài Em,Thiết bị gia dụng,Consumer,Đà Nẵng,Miền Trung,Agent,FUR-BO-10003034,Nội thất,Kệ sách,"O'Sullivan Elevations Bookcase, Cherry Finish",333.999,3,111.333,0.15,3.9294,,25-34
ĐN-2011-157147,1/14/24,Medium,BD-11605,Nguyễn Văn Tài Em,Thiết bị gia dụng,Consumer,Đà Nẵng,Miền Trung,Agent,OFF-AR-10003514,Hàng điện lạnh,Máy giặt,4009 Highlighters by Sanford,19.9,5,3.98,,6.567,,45-54
QT-2011-118192,1/14/24,Medium,MM-17920,Trần Hằng Thu Thủy,Thiết bị gia dụng,Consumer,Quảng Trị,Miền Trung,Store,OFF-PA-10002947,Hàng điện lạnh,Tủ lạnh,Xerox 1923,37.408,7,5.344,0.2,13.0928,,25-34
QT-2011-118192,1/14/24,Low,MM-17920,Trần Hằng Thu Thủy,Thiết bị gia dụng,Consumer,Quảng Trị,Miền Trung,Store,OFF-BI-10003476,Hàng điện lạnh,Máy giặt,Avery Metallic Poly Máy giặt,3.438,2,1.719,0.7,-2.5212,,18-24
HG-2011-149524,1/15/24,Low,BS-11590,Lê Thị Thi,Thiết bị gia dụng,Corporate,Hà Giang,Miền Bắc,Agent,FUR-BO-10003433,Nội thất,Kệ sách,Sauder Cornerstone Collection Library,61.96,4,15.49,0.5,-53.2856,,18-24
ĐN-2011-103366,1/16/24,High,EH-13990,Erica Hackney,Thiết bị điện tử,Consumer,Đà Nẵng,Miền Trung,Agent,TEC-AC-10003628,Hàng điện tử,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,149.95,5,29.99,,65.978,,45-54
HT-2011-115791,1/17/24,Medium,DL-13315,Delfina company,Thiết bị gia dụng,Consumer,Hà Tỉnh,Miền Trung,Agent,FUR-FU-10001095,Nội thất,Giường,DAX Black Cherry Wood-Tone Poster Frame,127.104,6,21.184,0.2,28.5984,,35-44
HT-2011-115791,1/17/24,Low,DL-13315,Delfina company,Thiết bị điện tử,Consumer,Hà Tỉnh,Miền Trung,Agent,TEC-PH-10002154,Hàng điện tử,Phones,AT&T 841000 Phone,124.2,3,41.4,0.4,-31.05,,>=55
HT-2011-115791,1/17/24,Low,DL-13315,Delfina company,Thiết bị gia dụng,Consumer,Hà Tỉnh,Miền Trung,agent,OFF-BI-10001575,Hàng điện lạnh,Máy giặt,GBC Linen Binding Covers,18.588,2,9.294,0.7,-13.6312,,35-44
HT-2011-115791,1/17/24,Medium,DL-13315,Delfina company,Thiết bị gia dụng,Consumer,Hà Tỉnh,Miền Trung,Agent,OFF-LA-10001074,Điện lạnh,Máy điều hòa,MÁY LẠNH TOSHIBA RAS-H10G2KCV-V,30.072,3,10.024,0.2,10.1493,,35-44
