Customer_ID,Customer_Name,Customer_Segment,Birthday,Phone number,Province 
DP-13000,Darren Tran,Consumer,1/11/70,909123123,Vĩnh Long
PO-19195,Phillina Ober,Home Office,9/14/84,909123124,TP HCM
MB-18085,Trần Nhiễm,Consumer,1/11/96,909123127,Bình Dương
LS-17230,Lycoris Saunders,Consumer,1/11/82,909123128,Vĩnh Phúc
JO-15145,Jack O'Briant,Corporate,1/11/80,909123129,Bình Dương
ME-17320,Nguyễn Ca Hùng,Home Office,1/22/73,909123130,Hà Tỉnh
VS-21820,Vivek Sundaresam,Consumer,1/11/79,909123137,Đà Nẵng
MS-17830,Trần Văn Ngư,Consumer,1/21/82,909123139,Hồ Chí Minh
AJ-10780,Phạm Khanh,Corporate,1/11/79,909123141,Vĩnh Long
SV-20365,Seth Vernon,Consumer,5/24/84,909123143,Bình Dương
CS-12250,Trương Hồng Tâm,Corporate,6/27/86,909123144,Vĩnh Long
ND-18370,Lê Nguyễn Thanh Giang,Consumer,1/11/80,909123149,Hà Tỉnh
BD-11605,Nguyễn Văn Tài Em,Consumer,1/11/81,909123150,Đà Nẵng
MM-17920,Trần Hằng Thu Thủy,Consumer,1/11/83,909123153,Vĩnh Phúc
BS-11590,Lê Thị Thi,Corporate,1/11/79,909123155,Đồng Tháp
EH-13990,Erica Hackney,Consumer,2/27/80,909123156,Hà Nội
DL-13315,Delfina company,Consumer,8/20/92,909123157,Hà Nội
DW-13195,Nguyễn Thị Trinh,Corporate,1/11/70,909123161,Khánh Hòa
TS-21340,Toby Swindell,Consumer,1/11/81,909123162,TP HCM
HL-15040,Hunter Lopez,Consumer,1/11/83,909123166,Tiền Giang
MV-17485,Mark Van Huff,Consumer,1/11/74,909123172,Thanh Hóa
XP-21865,Tài Thị Hoa,Consumer,9/28/79,909123174,Khánh Hòa
MM-18280,Lý Văn An,Corporate,1/11/83,909123182,Gia Lai
TB-21400,Bùi Thị Thương,Consumer,1/11/89,909123183,Gia Lai
IM-15055,Ionia McGrath,Consumer,1/11/74,909123184,Quảng Ngãi
SG-20605,Bùi Ngưng Hưng,Consumer,1/11/79,909123185,Hà Tỉnh
SD-20485,Phạm Thanh Thủy,Home Office,1/11/86,909123186,Hồ Chí Minh
CA-11965,Carol Adams,Corporate,1/11/79,909123193,Hà Giang
EJ-13720,Ed Jacobs,Consumer,1/11/74,909123195,Thanh Hóa
JC-15340,Jasper Cacioppo,Consumer,1/11/80,909123198,Hà Nội
MV-18190,Tiếu Hân,Consumer,1/11/82,909123199,TP HCM
LC-17050,Liz Carlisle,Consumer,1/11/79,909123201,Hà Tỉnh
BD-11500,Trần Vỹ Thắng,Consumer,1/11/83,909123202,Bình Dương
CD-12790,Trịnh Chi An,Home Office,1/11/84,909123203,Thanh Hóa
EB-13930,Eric Barreto,Consumer,1/11/89,909123204,Hà Nội
DB-13270,Trương Ngân Tâm ,Home Office,1/11/82,909123208,Tiền Giang
MH-17440,Mark Haberlin,Corporate,1/11/81,909123210,Đồng Tháp
ND-18460,Neil Ducich,Corporate,1/11/80,909123211,Hà Giang
CK-12760,Phạm Thị Thanh Trúc,Corporate,1/11/79,909123215,Bình Phước
NM-18445,Nguyễn Cát Phương,Home Office,1/11/81,909123217,Hà Tỉnh
NF-18385,Natalie Shop,Consumer,1/11/80,909123218,Bình Phước
GA-14725,Armstrong Company,Consumer,1/11/87,909123221,Đồng Tháp
SC-20095,Phạm Lê Hoàng Ngưng,Consumer,1/11/89,909123227,Đà Nẵng
ST-20530,Nguyễn Thị Hằng Ngân,Consumer,1/11/87,909123228,Khánh Hòa
ML-17395,Marina Company,Corporate,1/11/89,909123229,Đà Nẵng
BF-11020,Ngô Thị Hòaösisch,Corporate,1/11/83,909123232,Đồng Tháp
MN-17935,Michael Nguyen,Consumer,1/11/74,909123233,Bình Dương
TB-21595,Nguyễn Thị Thu Thảo,Consumer,1/11/91,909123236,Hà Nội
AB-10015,Trọng Văn Hoàng,Consumer,1/11/92,909123237,Vĩnh Phúc
LC-16930,Trúc Ly,Corporate,2/23/84,909123238,Phú Thọ
SR-20740,Trần Lý Khan,Home Office,1/11/93,909123240,Hồ Chí Minh
TM-21010,Quang Mỹ Nhân,Consumer,1/11/87,909123241,Hà Giang
SA-20830,Lê Tân Tú,Consumer,1/11/81,909123242,TP HCM
MG-17875,Michael Grace,Home Office,1/11/83,909123243,Hồ Chí Minh
JH-15430,Jennifer Halladay,Consumer,1/11/84,909123245,Khánh Hòa
JS-16030,Trần Văn Biển,Consumer,1/11/80,909123247,Thanh Hóa
DB-13060,Phạm Văn Nhật,Consumer,1/11/87,909123248,Hà Nội
HR-14770,Lê Minh Thiện,Home Office,1/11/83,909123249,Hồ Chí Minh
VF-21715,Lý Nhược Tinh,Home Office,1/11/82,909123250,Khánh Hòa
SC-20380,Bùi Ngọc Trầm,Consumer,1/11/86,909123252,Đà Nẵng
GW-14605,Giulietta Weimer,Consumer,1/11/84,909123256,Hà Giang
KN-16705,Lê Hồng Thanh,Home Office,1/11/87,909123258,Khánh Hòa
NH-18610,Nguyễn Ca Nhiên,Corporate,1/11/74,909123260,Tiền Giang
AJ-10945,Phạm Hồng Thanh,Consumer,1/11/86,909123262,Đà Nẵng
AP-10720,Phạm Hoài Thương,Home Office,1/11/82,909123263,Khánh Hòa
JS-15595,Jill Stevenson,Corporate,1/11/81,909123266,Hồ Chí Minh
SC-20020,Trần Ngọc Dã Mạt,Consumer,1/11/87,909123269,Hà Tỉnh
EJ-14155,Eva Jacobs,,1/11/81,909123270,Hà Tỉnh
CL-12565,Bùi Lê Tấn,Consumer,1/11/83,909123271,Khánh Hòa
AB-10150,Trịnh Kim Yến,Consumer,1/11/84,909123273,Hồ Chí Minh
NP-18685,Phạm Thị Liên,HO,1/11/84,909123281,Hồ Chí Minh
CM-12715,Lê Văn Trường,Corporate,1/11/69,909123282,Hồ Chí Minh
SW-20275,Lý Nhược Tuyên,Consumer,1/11/78,909123286,Vĩnh Long
KT-16480,Bùi Công Danh,Consumer,1/11/83,909123287,Hà Nội
CK-12205,Nguyễn Ngọc Ngư,Consumer,1/11/86,909123289,Bình Dương
KA-16525,Kelly Andreada,Consumer,1/11/76,909123291,Tiền Giang
